operation_type,cdc_timestamp,batch_date,transaction_id,property_id,listing_id,seller_agent_id,buyer_agent_id,buyer_name,sale_price,sale_date,closing_date,financing_type,down_payment_pct,commission_rate_pct,commission_amount,title_company,transaction_status
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254273,PT0143395,LST0143395,AG01463,AG01507,Brian Hernandez,392101.88,2026-08-19,2026-09-05,Jumbo Loan,5.7,5.7,22349.81,WFG National Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254274,PT0212257,LST0212257,AG02054,AG02069,Holly Frazier,823683.67,2026-08-19,2026-10-01,Conventional Mortgage,11.2,5.22,42996.29,Fidelity National Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254275,PT0024164,LST0024164,AG00142,AG00687,Paul Rangel,205578.11,2026-08-19,2026-09-16,FHA Loan,6.9,6.37,13095.33,Stewart Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254276,PT0009306,LST0009306,AG00905,AG00944,Joshua Arnold,894153.53,2026-08-19,2026-09-04,VA Loan,8.0,5.21,46585.4,Old Republic Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254277,PT0194288,LST0194288,AG00939,AG02585,Anne Robles,488377.6,2026-08-19,2026-09-05,FHA Loan,15.5,4.82,23539.8,Stewart Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254278,PT0148115,LST0148115,AG00565,AG01250,Sharon Cline,263800.87,2026-08-19,2026-10-12,Cash,100.0,5.2,13717.65,First American Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254279,PT0156995,LST0156995,AG02293,AG02630,Mr. Anthony Roy,70286.41,2026-08-19,2026-09-28,Conventional Mortgage,8.8,5.29,3718.15,Old Republic Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254280,PT0114553,LST0114553,AG00073,AG01958,James Downs,910977.98,2026-08-19,2026-09-26,Conventional Mortgage,11.8,4.86,44273.53,Old Republic Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254281,PT0476595,LST0476595,AG02246,AG02523,Misty Page,380689.76,2026-08-19,2026-09-11,FHA Loan,23.5,5.28,20100.42,WFG National Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254282,PT0403713,LST0403713,AG01723,AG00604,John Moore,184991.36,2026-08-19,2026-10-10,Cash,100.0,6.2,11469.46,Chicago Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254283,PT0225499,LST0225499,AG00060,AG02034,Courtney Kelley,471242.02,2026-08-19,2026-09-13,Conventional Mortgage,8.7,6.25,29452.63,WFG National Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254284,PT0518790,LST0518790,AG02753,AG01129,Jeff Johnson,511810.73,2026-08-19,2026-10-14,Conventional Mortgage,20.0,5.24,26818.88,Stewart Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254285,PT0057268,LST0057268,AG01979,AG00915,Jeffrey Booth,121020.82,2026-08-19,2026-10-15,Conventional Mortgage,14.5,5.29,6402.0,Stewart Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254286,PT0321250,LST0321250,AG01859,AG02233,Cory Figueroa,3140497.54,2026-08-19,2026-09-15,FHA Loan,13.8,6.45,202562.09,Old Republic Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254287,PT0552125,LST0552125,AG01525,AG01686,Hannah Floyd,140169.31,2026-08-19,2026-09-13,FHA Loan,4.3,4.83,6770.18,Stewart Title,Completed
INSERT,2026-08-19T00:00:00,2026-08-19,TXN0254288,PT0011360,LST0011360,AG02880,AG00707,Alejandra Barber,165257.03,2026-08-19,2026-10-04,Cash,100.0,4.71,7783.61,Chicago Title,Completed
